Date,zone,centre,Price
12-05-93,4,BANGALORE,NA
12-05-93,4,THIRUVANANTHAPURAM,7.4
12-05-93,4,ERNAKULAM,7.2
12-05-93,4,CHENNAI,6.8
12-05-93,4,MADURAI,5.8
12-05-93,4,PONDICHERRY,NA
19-05-93,1,HISAR,7
19-05-93,1,KARNAL,7
19-05-93,1,SHIMLA,9
19-05-93,1,MANDI,7.4
19-05-93,1,SRINAGAR,NA
19-05-93,1,JAMMU,6.5
19-05-93,1,AMRITSAR,5.75
19-05-93,1,LUDHIANA,6.5
19-05-93,1,LUCKNOW,5.5
19-05-93,1,KANPUR,5
19-05-93,1,CHANDIGARH,NA
19-05-93,1,DELHI,7
19-05-93,2,AHMEDABAD,NA
19-05-93,2,RAJKOT,6.25
19-05-93,2,PANAJI,NA
19-05-93,2,BHOPAL,6.5
19-05-93,2,INDORE,6.5
19-05-93,2,MUMBAI,7.5
19-05-93,2,NAGPUR,6.5
19-05-93,2,JAIPUR,7.5
19-05-93,2,JODHPUR,7.9
19-05-93,3,GUWAHATI,6.2
19-05-93,3,PATNA,NA
19-05-93,3,SHILLONG,NA
19-05-93,3,AIZAWL,NA
19-05-93,3,BHUBANESHWAR,5
19-05-93,3,CUTTACK,4.8
19-05-93,3,KOLKATA,6.1
19-05-93,3,AGARTALA,NA
19-05-93,4,HYDERABAD,5.5
19-05-93,4,VIJAYAWADA,4.5
19-05-93,4,BANGALORE,6.5
19-05-93,4,THIRUVANANTHAPURAM,NA
19-05-93,4,ERNAKULAM,NA
19-05-93,4,CHENNAI,6.6
19-05-93,4,MADURAI,5.4
19-05-93,4,PONDICHERRY,NA
26-05-93,1,HISAR,7
26-05-93,1,KARNAL,7
26-05-93,1,SHIMLA,9
26-05-93,1,MANDI,7.4
